"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-05-22",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-05-23",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-05-24",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-05-25",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-05-26",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-05-27",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-05-28",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-05-29",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-05-30",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-05-31",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-06-01",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-06-02",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-06-03",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-06-04",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-06-05",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-06-06",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-06-07",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-06-08",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-06-09",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-06-10",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-06-11",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-06-12",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-06-13",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-06-14",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-06-15",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-06-16",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-06-18",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-06-19",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-06-21",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-06-22",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-06-23",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-06-24",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-06-25",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-06-26",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-06-27",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-07-01",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-07-02",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-07-03",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-07-04",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-07-06",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-07-07",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-07-08",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-07-09",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-07-10",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-07-11",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-07-12",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-07-13",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-07-14",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-07-15",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-07-16",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-07-17",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-07-18",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-07-19",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-07-20",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-07-21",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-07-22",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-07-23",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-07-24",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-07-25",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-07-28",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-07-29",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-07-30",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-07-31",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-08-01",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-08-02",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-08-03",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-08-04",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-08-05",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-08-19",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-08-20",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-08-21",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-08-22",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-08-23",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-08-24",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-08-25",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-08-26",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-08-28",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-08-29",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-08-30",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-08-31",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-09-01",,,,
